X,Y
Create a wall,"import Arch
obj = Arch.makeWall()"
Create a structural element,"import Arch
obj = Arch.makeStructure(length=1000, width=1000, height=3000)"
Add a window,"import Draft, Arch
base = Draft.makeRectangle(1000, 1500)
obj = Arch.makeWindow(base)"
Add a door,"import Draft, Arch
base = Draft.makeRectangle(900, 2100)
obj = Arch.makeWindow(base)"
Create a roof,"import Draft, Arch
base = Draft.makeRectangle(4000, 8000)
obj = Arch.makeRoof(base)"
Create a staircase,"import Arch
obj = Arch.makeStairs(steps=10, width=1000, height=3000, length=2000)"
Create a lot,"import Arch
obj = Arch.makeSite()"
Create a building,"import Arch
obj = Arch.makeBuilding()"
Create a floor,"import Arch
obj = Arch.makeFloor()"
Create a cutting plane,"import Arch
obj = Arch.makeSectionPlane()"
Add rebar,FreeCADGui.runCommand('Arch_Rebar')
Create an axis grid,"import Arch
obj = Arch.makeAxis(num=5)"
Create a frame structure,FreeCADGui.runCommand('Arch_Frame')
Create a panel,FreeCADGui.runCommand('Arch_Panel')
Create a curtain wall,FreeCADGui.runCommand('Arch_CurtainWall')
Create a schedule,FreeCADGui.runCommand('Arch_Schedule')
Assign a material,FreeCADGui.runCommand('Arch_SetMaterial')
Add a column (BIM),"import Arch
obj = Arch.makeStructure(length=300, width=300, height=3000)"
Add a beam,"import Arch
obj = Arch.makeStructure(length=5000, width=300, height=300)"
Add a floor slab,"import Arch
obj = Arch.makeStructure(length=4000, width=4000, height=200)"
Open BIM Welcome,FreeCADGui.runCommand('BIM_Welcome')
Open BIM Settings,FreeCADGui.runCommand('BIM_Setup')
Open IFC Browser,FreeCADGui.runCommand('BIM_IfcExplorer')
Specify North Direction,FreeCADGui.runCommand('BIM_North')
Create a new sketch,FreeCADGui.runCommand('Sketcher_NewSketch')
Draw a line,FreeCADGui.runCommand('Sketcher_CreateLine')
Draw a polyline,FreeCADGui.runCommand('Sketcher_CreatePolyline')
Draw a circle,FreeCADGui.runCommand('Sketcher_CreateCircle')
Draw an arc,FreeCADGui.runCommand('Sketcher_CreateArc')
Draw a rectangle,FreeCADGui.runCommand('Sketcher_CreateRectangle')
Draw a point,FreeCADGui.runCommand('Sketcher_CreatePoint')
Draw an ellipse,FreeCADGui.runCommand('Sketcher_CreateEllipse')
Draw an arc of an ellipse,FreeCADGui.runCommand('Sketcher_CreateArcOfEllipse')
Draw a B-spline,FreeCADGui.runCommand('Sketcher_CreateBSpline')
Draw a rectangular hole (slot),FreeCADGui.runCommand('Sketcher_CreateSlot')
Round a corner,FreeCADGui.runCommand('Sketcher_CreateFillet')
Trim a segment,FreeCADGui.runCommand('Sketcher_Trim')
Extend a segment,FreeCADGui.runCommand('Sketcher_Extend')
Make a line horizontal,FreeCADGui.runCommand('Sketcher_ConstrainHorizontal')
Make a line vertical,FreeCADGui.runCommand('Sketcher_ConstrainVertical')
Add parallel,FreeCADGui.runCommand('Sketcher_ConstrainParallel')
Add perpendicular,FreeCADGui.runCommand('Sketcher_ConstrainPerpendicular')
Add tangency,FreeCADGui.runCommand('Sketcher_ConstrainTangent')
Add equality,FreeCADGui.runCommand('Sketcher_ConstrainEqual')
Add symmetry,FreeCADGui.runCommand('Sketcher_ConstrainSymmetric')
Add coincidence,FreeCADGui.runCommand('Sketcher_ConstrainCoincident')
Add a point on an object,FreeCADGui.runCommand('Sketcher_ConstrainPointOnObject')
Catch a point,FreeCADGui.runCommand('Sketcher_ConstrainLock')
Add a dimension,FreeCADGui.runCommand('Sketcher_ConstrainDistance')
Add a horizontal dimension,FreeCADGui.runCommand('Sketcher_ConstrainDistanceX')
Add a vertical dimension,FreeCADGui.runCommand('Sketcher_ConstrainDistanceY')
Add a radius,FreeCADGui.runCommand('Sketcher_ConstrainRadius')
Add a diameter,FreeCADGui.runCommand('Sketcher_ConstrainDiameter')
Add an angle,FreeCADGui.runCommand('Sketcher_ConstrainAngle')
Add external geometry,FreeCADGui.runCommand('Sketcher_External')
Toggle construction mode,FreeCADGui.runCommand('Sketcher_ToggleConstruction')
Make a dimension a reference,FreeCADGui.runCommand('Sketcher_ToggleDrivingConstraint')
Copy parts from another sketch,FreeCADGui.runCommand('Sketcher_CarbonCopy')
Create a line between points,"import FreeCAD, Draft
Draft.makeLine(FreeCAD.Vector(0,0,0), FreeCAD.Vector(1000,0,0))"
Create a polyline,FreeCADGui.runCommand('Draft_Wire')
Create a circle,"import Draft
Draft.makeCircle(radius=500)"
Create an arc of a circle,"import Draft
Draft.makeCircle(radius=500, startAngle=0, endAngle=90)"
Create a rectangle,"import Draft
Draft.makeRectangle(2000, 1000)"
Create a regular polygon,"import Draft
Draft.makePolygon(6, radius=1000)"
Create an ellipse,"import Draft
Draft.makeEllipse(1000, 500)"
Create a spline through points,"import FreeCAD, Draft
pts = [FreeCAD.Vector(0,0,0), FreeCAD.Vector(1000,500,0), FreeCAD.Vector(2000,0,0)]
Draft.makeBSpline(pts)"
Create a Bezier curve,"import FreeCAD, Draft
pts = [FreeCAD.Vector(0,0,0), FreeCAD.Vector(1000,500,0), FreeCAD.Vector(2000,0,0)]
Draft.makeBezCurve(pts)"
Add a text object,"import Draft
Draft.makeShapeString('TEXT', '/usr/share/fonts/truetype/dejavu/DejaVuSans.ttf', 100)"
